berkeley_neural_parser_result,item,condition,disambPosition,Sentence,,,,Ans,Ans,Type,,,,,,
(S (PP (IN On) (NP (DT the) (NN news))) (NP (PRP they)) (VP (VBD showed) (NP (NP (DT the) (NNS accomplices)) (PP (IN of) (NP (NP (DT the) (NN thief)) (SBAR (WHNP (WP who)) (S (VP (VBD were) (VP (VBN indicted) (PP (IN for) (S (VP (VBG stealing) (NP (DT the) (NNP Mona) (NN Lisa))))))))))))) (. .)),65,AttachHigh,12,On the news they showed the accomplices of the thief who were indicted for stealing the Mona Lisa .,Where did they show the accomplices?,A documentary,The news,0,0,Non-ambig,,1,,,,
(S (PP (IN On) (NP (DT the) (NN news))) (NP (PRP they)) (VP (VBD showed) (NP (NP (DT the) (NN accomplice)) (PP (IN of) (NP (NP (DT the) (NNS thieves)) (SBAR (WHNP (WP who)) (S (VP (VBD were) (VP (VBN indicted) (PP (IN for) (S (VP (VBG stealing) (NP (DT the) (NNP Mona) (NN Lisa))))))))))))) (. .)),65,AttachLow,12,On the news they showed the accomplice of the thieves who were indicted for stealing the Mona Lisa .,Where did they show the accomplices?,A documentary,The news,0,0,Non-ambig,,,,1,,
(S (NP (NP (NN Everyone)) (PP (IN at) (NP (DT the) (NN party)))) (VP (VBD groaned) (PP (IN at) (NP (NP (DT the) (NNS bodyguards)) (PP (PP (IN of) (NP (DT the) (NNS divas))) (SBAR (WHNP (WP who)) (S (VP (VBP smoke) (NP (NN clove) (NNS cigarettes)) (ADVP (RB constantly))))))))) (. .)),66,AttachMulti,13,Everyone at the party groaned at the bodyguards of the divas who smoke clove cigarettes constantly .,What type of cigarettes are smoked?,Menthol,Clove,0,0,Non-ambig,,,,1,,
(S (NP (NP (NN Everyone)) (PP (IN at) (NP (DT the) (NN party)))) (VP (VBD groaned) (PP (IN at) (NP (NP (DT the) (NNS bodyguards)) (PP (IN of) (NP (DT the) (NN diva))) (SBAR (WHNP (WP who)) (S (VP (VBP smoke) (NP (NN clove) (NNS cigarettes)) (ADVP (RB constantly)))))))) (. .)),66,AttachHigh,13,Everyone at the party groaned at the bodyguards of the diva who smoke clove cigarettes constantly .,What type of cigarettes are smoked?,Menthol,Clove,0,0,Non-ambig,,,,,,1
(S (NP (NP (NN Everyone)) (PP (IN at) (NP (DT the) (NN party)))) (VP (VBD groaned) (PP (IN at) (NP (NP (DT the) (NN bodyguard)) (PP (IN of) (NP (NP (DT the) (NNS divas)) (SBAR (WHNP (WP who)) (S (VP (VBP smoke) (NP (NN clove) (NNS cigarettes)) (ADVP (RB constantly)))))))))) (. .)),66,AttachLow,13,Everyone at the party groaned at the bodyguard of the divas who smoke clove cigarettes constantly .,What type of cigarettes are smoked?,Menthol,Clove,0,0,Non-ambig,,1,,,,
"(S (PP (IN At) (NP (DT the) (NN summit))) (, ,) (NP (NNP Ursula)) (VP (ADVP (RB warmly)) (VBD greeted) (NP (NP (DT the) (NNS advisors)) (PP (IN of) (NP (NP (DT the) (NNS tycoons)) (SBAR (WHNP (WP who)) (S (VP (VBP snowboard) (PP (IN in) (NP (NNP Aspen))) (PP (IN in) (NP (NNP January)))))))))) (. .))",67,AttachMulti,13,"At the summit, Ursula warmly greeted the advisors of the tycoons who snowboard in Aspen in January .",Who snowboards?,The advisors,The tycoons,NA,,Ambig,1,,,,,
"(S (PP (IN At) (NP (DT the) (NN summit))) (, ,) (NP (NNP Ursula)) (VP (ADVP (RB warmly)) (VBD greeted) (NP (NP (DT the) (NNS advisors)) (PP (IN of) (NP (NP (DT the) (NN tycoon)) (SBAR (WHNP (WP who)) (S (VP (VBP snowboard) (PP (IN in) (NP (NNP Aspen))) (PP (IN in) (NP (NNP January)))))))))) (. .))",67,AttachHigh,13,"At the summit, Ursula warmly greeted the advisors of the tycoon who snowboard in Aspen in January .",Who snowboards?,The advisors,The tycoon,1,1,Ambig,,,1,,,
"(S (PP (IN At) (NP (DT the) (NN summit))) (, ,) (NP (NNP Ursula)) (VP (ADVP (RB warmly)) (VBD greeted) (NP (NP (DT the) (NN advisor)) (PP (IN of) (NP (NP (DT the) (NNS tycoons)) (SBAR (WHNP (WP who)) (S (VP (VBP snowboard) (PP (IN in) (NP (NNP Aspen))) (PP (IN in) (NP (NNP January)))))))))) (. .))",67,AttachLow,13,"At the summit, Ursula warmly greeted the advisor of the tycoons who snowboard in Aspen in January .",Who snowboards?,The advisor,The tycoons,0,0,Ambig,,,,,1,
(S (NP (NNP Rosalina)) (VP (VBD testified) (PP (IN against) (NP (NP (DT the) (NNS detectives)) (PP (IN of) (NP (NP (DT the) (NNS senators)) (SBAR (WHNP (WP who)) (S (VP (VBD were) (VP (VBN caught) (S (VP (VBG spying) (PP (IN on) (NP (PRP$ his) (NNS colleagues)))))))))))))) (. .)),68,AttachMulti,10,Rosalina testified against the detectives of the senators who were caught spying on his colleagues .,Who got caught spying?,The detectives,The senators,NA,,Ambig,,,,,1,
(S (NP (NNP Rosalina)) (VP (VBD testified) (PP (IN against) (NP (NP (DT the) (NNS detectives)) (PP (IN of) (NP (DT the) (NN senator))) (SBAR (WHNP (WP who)) (S (VP (VBD were) (VP (VBN caught) (S (VP (VBG spying) (PP (IN on) (NP (PRP$ his) (NNS colleagues)))))))))))) (. .)),68,AttachHigh,10,Rosalina testified against the detectives of the senator who were caught spying on his colleagues .,Who got caught spying?,The detectives,The senator,1,1,Ambig,1,,,,,
(S (NP (NNP Rosalina)) (VP (VBD testified) (PP (IN against) (NP (NP (DT the) (NN detective)) (PP (IN of) (NP (NP (DT the) (NNS senators)) (SBAR (WHNP (WP who)) (S (VP (VBD were) (VP (VBN caught) (S (VP (VBG spying) (PP (IN on) (NP (PRP$ his) (NNS colleagues)))))))))))))) (. .)),68,AttachLow,10,Rosalina testified against the detective of the senators who were caught spying on his colleagues .,Who got caught spying?,The detective,The senators,0,0,Ambig,,,1,,,
"(S (PP (IN Before) (NP (DT the) (NN exhibition))) (, ,) (NP (NNP Silas)) (VP (VBD telephoned) (NP (NP (DT the) (NNS friends)) (PP (IN of) (NP (NP (DT the) (NNS bodybuilders)) (SBAR (WHNP (WP who)) (S (VP (VBP write) (NP (NP (NN fan) (NN fiction)) (PP (IN about) (NP (NNP Batman))))))))))) (. .))",69,AttachMulti,12,"Before the exhibition, Silas telephoned the friends of the bodybuilders who write fan fiction about Batman .",Who writes fan fiction?,The friends,The bodybuilders,NA,,Ambig,,,1,,,
"(S (PP (IN Before) (NP (DT the) (NN exhibition))) (, ,) (NP (NNP Silas)) (VP (VBD telephoned) (NP (NP (DT the) (NNS friends)) (PP (PP (IN of) (NP (DT the) (NN bodybuilder))) (SBAR (WHNP (WP who)) (S (VP (VBP write) (NP (NN fan) (NN fiction)) (PP (IN about) (NP (NNP Batman))))))))) (. .))",69,AttachHigh,12,"Before the exhibition, Silas telephoned the friends of the bodybuilder who write fan fiction about Batman .",Who writes fan fiction?,The friends,The bodybuilder,1,1,Ambig,,,,,1,
"(S (PP (IN Before) (NP (DT the) (NN exhibition))) (, ,) (NP (NNP Silas)) (VP (VBD telephoned) (NP (NP (DT the) (NN friend)) (PP (IN of) (NP (NP (DT the) (NNS bodybuilders)) (SBAR (WHNP (WP who)) (S (VP (VBP write) (NP (NN fan) (NN fiction)) (PP (IN about) (NP (NNP Batman)))))))))) (. .))",69,AttachLow,12,"Before the exhibition, Silas telephoned the friend of the bodybuilders who write fan fiction about Batman .",Who writes fan fiction?,The friend,The bodybuilders,0,0,Ambig,1,,,,,
"(S (PP (IN At) (NP (PRP$ her) (NN orientation))) (, ,) (NP (NNP Tamara)) (ADVP (RB recently)) (VP (VBD met) (NP (NP (DT the) (NNS nephews)) (PP (IN of) (NP (NP (DT the) (NNS professors)) (SBAR (WHNP (WP who)) (S (VP (VBP paint) (NP (NP (JJ beautiful) (NNS portraits)) (PP (IN of) (NP (JJ local) (NNS celebrities))))))))))) (. .))",70,AttachMulti,13,"At her orientation, Tamara recently met the nephews of the professors who paint beautiful portraits of local celebrities .",Who paints portraits?,The nephews,The professors,NA,,Ambig,,1,,,,
"(S (PP (IN At) (NP (PRP$ her) (NN orientation))) (, ,) (NP (NNP Tamara)) (ADVP (RB recently)) (VP (VBD met) (NP (NP (DT the) (NNS nephews)) (PP (IN of) (NP (NP (DT the) (NN professor)) (SBAR (WHNP (WP who)) (S (VP (VBP paint) (NP (NP (JJ beautiful) (NNS portraits)) (PP (IN of) (NP (JJ local) (NNS celebrities))))))))))) (. .))",70,AttachHigh,13,"At her orientation, Tamara recently met the nephews of the professor who paint beautiful portraits of local celebrities .",Who paints portraits?,The nephews,The professor,1,1,Ambig,,,,1,,
"(S (PP (IN At) (NP (PRP$ her) (NN orientation))) (, ,) (NP (NNP Tamara)) (ADVP (RB recently)) (VP (VBD met) (NP (NP (DT the) (NN nephew)) (PP (IN of) (NP (NP (DT the) (NNS professors)) (SBAR (WHNP (WP who)) (S (VP (VBP paint) (NP (NP (JJ beautiful) (NNS portraits)) (PP (IN of) (NP (JJ local) (NNS celebrities))))))))))) (. .))",70,AttachLow,13,"At her orientation, Tamara recently met the nephew of the professors who paint beautiful portraits of local celebrities .",Who paints portraits?,The nephew,The professors,0,0,Ambig,,,,,,1
(S (NP (NP (NN Everyone)) (PP (IN at) (NP (DT the) (NN coffee) (NN shop)))) (VP (VBD sympathized) (PP (IN with) (NP (NP (DT the) (NNS couriers)) (PP (IN of) (NP (DT the) (NNS florists))) (SBAR (WHNP (WP who)) (S (VP (VBD were) (VP (VBG complaining) (PP (IN about) (NP (DT the) (NN weather)))))))))) (. .)),71,AttachMulti,14,Everyone at the coffee shop sympathized with the couriers of the florists who were complaining about the weathe .,Who complained about the weather?,The couriers,The florists,NA,,Ambig,,,,,,1
(S (NP (NP (NN Everyone)) (PP (IN at) (NP (DT the) (NN coffee) (NN shop)))) (VP (VBD sympathized) (PP (IN with) (NP (NP (DT the) (NNS couriers)) (PP (IN of) (NP (DT the) (NN florist))) (SBAR (WHNP (WP who)) (S (VP (VBD were) (VP (VBG complaining) (PP (IN about) (NP (DT the) (NN weather)))))))))) (. .)),71,AttachHigh,14,Everyone at the coffee shop sympathized with the couriers of the florist who were complaining about the weather .,Who complained about the weather?,The couriers,The florist,1,1,Ambig,,1,,,,
(S (NP (NP (NN Everyone)) (PP (IN at) (NP (DT the) (NN coffee) (NN shop)))) (VP (VBD sympathized) (PP (IN with) (NP (NP (DT the) (NN courier)) (PP (IN of) (NP (NP (DT the) (NNS florists)) (SBAR (WHNP (WP who)) (S (VP (VBD were) (VP (VBG complaining) (PP (IN about) (NP (DT the) (NN weather)))))))))))) (. .)),71,AttachLow,14,Everyone at the coffee shop sympathized with the courier of the florists who were complaining about the weather .,Who complained about the weather?,The courier,The florists,0,0,Ambig,,,,1,,
"(S (PP (IN Despite) (NP (DT the) (JJ good) (NN press))) (, ,) (PRP we) (SQ (VBD did) (RB n't)) (ADVP (RB really)) (VP (VB like) (NP (NP (DT the) (NNS commanders)) (PP (IN of) (NP (NP (DT the) (NNS soldiers)) (SBAR (WHNP (WP who)) (S (VP (VBP whistle) (UCP (ADVP (RB very) (RB loudly)) (CC and) (PP (IN for) (NP (NP (DT no) (NN reason)) (ADVP (IN at) (DT all)))))))))))) (. .))",72,AttachMulti,15,"Despite the good press, we didn't really like the commanders of the soldiers who whistle very loudly and for no reason at all .",Who whistles loudly?,The commanders,The soldiers,NA,,Ambig,,,,1,,
"(S (PP (IN Despite) (NP (DT the) (JJ good) (NN press))) (, ,) (PRP we) (SQ (VBD did) (RB n't)) (ADVP (RB really)) (VP (VB like) (NP (NP (DT the) (NNS commanders)) (PP (IN of) (NP (NP (DT the) (NN soldier)) (SBAR (WHNP (WP who)) (S (VP (VBP whistle) (UCP (ADVP (RB very) (RB loudly)) (CC and) (PP (IN for) (NP (NP (DT no) (NN reason)) (ADVP (IN at) (DT all)))))))))))) (. .))",72,AttachHigh,15,"Despite the good press, we didn't really like the commanders of the soldier who whistle very loudly and for no reason at all .",Who whistles loudly?,The commanders,The soldier,1,1,Ambig,,,,,,1
"(S (PP (IN Despite) (NP (DT the) (JJ good) (NN press))) (, ,) (PRP we) (SQ (VBD did) (RB n't)) (ADVP (RB really)) (VP (VB like) (NP (NP (DT the) (NN commander)) (PP (IN of) (NP (NP (DT the) (NNS soldiers)) (SBAR (WHNP (WP who)) (S (VP (VBP whistle) (UCP (ADVP (RB very) (RB loudly)) (CC and) (PP (IN for) (NP (NP (DT no) (NN reason)) (ADVP (IN at) (DT all)))))))))))) (. .))",72,AttachLow,15,"Despite the good press, we didn't really like the commander of the soldiers who whistle very loudly and for no reason at all .",Who whistles loudly?,The commander,The soldiers,0,0,Ambig,,1,,,,
