berkeley_neural_parser_result,item,condition,disambPosition,Sentence,ambiguous,Question,Option1,Option0,Answer,Ambiguity targeted?
"(S (SBAR (RB Once) (S (NP (DT the) (JJ new) (NN chef)) (VP (VBN started)))) (, ,) (NP (DT the) (NN restaurant)) (VP (VBD separated) (NP (JJ mediocre) (NNS cooks)) (PP (IN from) (NP (JJ gifted) (NNS ones)))) (. .))",23,NPZ_UAMB,8,"Once the new chef started, the restaurant separated mediocre cooks from gifted ones.",0,Did the chef join the restaurant recently?,Yes,No,1,
(S (NP (NP (DT The) (JJ new) (NN chef)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN offered) (NP (DT the) (NN restaurant))))))) (VP (VBD separated) (NP (JJ mediocre) (NNS cooks)) (PP (IN from) (NP (JJ gifted) (NNS ones)))) (. .)),23,MVRR_UAMB,9,The new chef who was offered the restaurant separated mediocre cooks from gifted ones.,0,Did the chef offer the restaurant to someone?,Yes,No,0,X
(S (NP (DT The) (NN apprentice) (NN baker)) (VP (VBD discovered) (SBAR (IN that) (S (NP (DT the) (NN oven)) (VP (VBD produced) (NP (JJR smaller) (NNS cakes)) (SBAR (IN because) (S (NP (PRP it)) (VP (VBD heated) (ADVP (RB too) (RB fast))))))))) (. .)),24,NPS_UAMB,8,The apprentice baker discovered that the oven produced smaller cakes because it heated too fast.,0,Did the apprentice baker discover the oven?,Yes,No,0,X
"(S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (NN apprentice) (NN baker)) (VP (VBD worked)))) (, ,) (NP (DT the) (NN oven)) (VP (VBD produced) (NP (JJR smaller) (NNS cakes)) (SBAR (IN because) (S (NP (PRP he)) (VP (VBD lacked) (NP (NN experience)))))) (. .))",24,NPZ_UAMB,8,"When the apprentice baker worked, the oven produced smaller cakes because he lacked experience.",0,Why were the cakes small?,The baker was not good.,The oven was not reliable.,1,
(S (NP (NP (DT The) (NN apprentice) (NN baker)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN assigned) (NP (DT the) (NN oven))))))) (VP (VBD produced) (NP (JJR smaller) (NNS cakes)) (SBAR (IN because) (S (NP (PRP he)) (VP (VBD lacked) (NP (NN experience)))))) (. .)),24,MVRR_UAMB,9,The apprentice baker who was assigned the oven produced smaller cakes because he lacked experience.,0,Did the apprentice baker assign the oven to someone?,Yes,No,0,X
(S (NP (DT The) (NN suspect)) (VP (VBD showed) (SBAR (S (NP (DT the) (NN file)) (VP (VBD deserved) (NP (JJ further) (NN investigation)) (PP (IN during) (NP (DT the) (NN murder) (NN trial))))))) (. .)),1,NPS_UAMB,6,The suspect showed the file deserved further investigation during the murder trial.,1,Who drew attention to the file during the trial?,The suspect,The lawyer,1,X
(S (SBAR (IN Because) (S (NP (DT the) (NN suspect)) (VP (VBD changed)))) (NP (DT the) (NN file)) (VP (VBD deserved) (NP (NP (JJ further) (NN investigation)) (PP (IN during) (NP (DT the) (NN jury) (NNS discussions))))) (. .)),1,NPZ_UAMB,7,Because the suspect changed the file deserved further investigation during the jury discussions.,1,Did the suspect change the file?,Yes,No,0,X
(S (NP (NP (DT The) (NN suspect)) (VP (VBD sent) (NP (DT the) (NN file)))) (VP (VBD deserved) (NP (JJ further) (NN investigation)) (PP (VBN given) (NP (DT the) (JJ new) (NN evidence)))) (. .)),1,MVRR_UAMB,6,The suspect sent the file deserved further investigation given the new evidence.,1,Did the suspect send the file to someone?,Yes,No,0,X
(S (NP (DT The) (JJ corrupt) (NN politician)) (VP (VBD mentioned) (SBAR (S (NP (DT the) (NN bill)) (VP (VBD received) (NP (JJ unwelcome) (NN attention)) (PP (IN from) (NP (JJ southern) (NNS voters))))))) (. .)),2,NPS_UAMB,7,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,1,Did the bill receive any negative attention?,Yes,No,1,X
(S (SBAR (SBAR (IN After) (S (NP (DT the) (JJ corrupt) (NN politician)) (VP (VBD signed)))) (NP (DT the) (NN bill))) (VP (VBD received) (NP (JJ unwelcome) (NN attention)) (PP (IN from) (NP (JJ southern) (NNS voters)))) (. .)),2,NPZ_UAMB,8,After the corrupt politician signed the bill received unwelcome attention from southern voters.,1,Did the southern voters disapprove of the bill?,Yes,No,1,X
(S (NP (NP (DT The) (JJ corrupt) (NN politician)) (VP (VBD handed) (NP (DT the) (NN bill)))) (VP (VBD received) (NP (JJ unwelcome) (NN attention)) (PP (IN from) (NP (JJ southern) (NNS voters)))) (. .)),2,MVRR_UAMB,7,The corrupt politician handed the bill received unwelcome attention from southern voters.,1,Did the politician hand the bill to someone?,Yes,No,0,X
(S (NP (NP (DT The) (NN woman)) (VP (VBD maintained) (NP (DT the) (NN mail)))) (VP (VBD disappeared) (ADVP (RB mysteriously)) (PP (IN from) (NP (PRP$ her) (JJ front) (NN porch)))) (. .)),3,NPS_UAMB,6,The woman maintained the mail disappeared mysteriously from her front porch.,1,Could the woman find the mail?,Yes,No,0,
(S (SBAR (IN After) (S (NP (DT the) (NN woman)) (VP (VBD moved)))) (NP (DT the) (NN mail)) (VP (VBD disappeared) (ADVP (RB mysteriously)) (PP (IN from) (NP (DT the) (NN delivery) (NN system)))) (. .)),3,NPZ_UAMB,7,After the woman moved the mail disappeared mysteriously from the delivery system.,1,Did the woman move the mail?,Yes,No,0,X
(S (NP (NP (DT The) (NN woman)) (VP (VBD brought) (NP (DT the) (NN mail)))) (VP (VBD disappeared) (ADVP (RB mysteriously)) (PP (IN after) (S (VP (VBG reading) (NP (DT the) (JJ bad) (NN news)) (PP (IN in) (NP (PRP it))))))) (. .)),3,MVRR_UAMB,6,The woman brought the mail disappeared mysteriously after reading the bad news in it.,1,Did the woman receive the mail?,Yes,No,1,X
(S (NP (DT The) (NN boy)) (VP (VBD found) (SBAR (S (NP (DT the) (NN chicken)) (VP (VBD stayed) (ADJP (RB surprisingly) (JJ happy)) (PP (IN in) (NP (DT the) (JJ new) (NN barn))))))) (. .)),4,NPS_UAMB,6,The boy found the chicken stayed surprisingly happy in the new barn.,1,Was the chicken satisfied in the new barn?,Yes,No,1,X
(S (SBAR (SBAR (IN Although) (S (NP (DT the) (NN boy)) (VP (VBD attacked)))) (NP (DT the) (NN chicken))) (VP (VBD stayed) (ADJP (RB surprisingly) (JJ happy)) (SBAR (IN as) (IN if) (S (NP (NN nothing)) (VP (VBD happened))))) (. .)),4,NPZ_UAMB,7,Although the boy attacked the chicken stayed surprisingly happy as if nothing happened.,1,Was the chicken disturbed by the boy\'s attack?,Yes,No,0,
(S (NP (NP (DT The) (NN boy)) (VP (VBD fed) (NP (DT the) (NN chicken)))) (VP (VBD stayed) (ADJP (RB surprisingly) (JJ happy)) (PP (IN despite) (S (VP (VBG having) (NP (DT a) (JJ mild) (JJ allergic) (NN reaction)))))) (. .)),4,MVRR_UAMB,6,The boy fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,1,Did the boy feed the chicken?,Yes,No,0,X
(S (NP (DT The) (JJ new) (NN doctor)) (VP (VBD demonstrated) (SBAR (S (NP (DT the) (NN operation)) (VP (VBD appeared) (ADJP (RB increasingly) (JJ likely) (S (VP (TO to) (VP (VB succeed))))))))) (. .)),5,NPS_UAMB,7,The new doctor demonstrated the operation appeared increasingly likely to succeed.,1,What did the doctor demonstrate?,The operation,The operation\'s likelihood of success,0,X
(S (SBAR (IN After) (S (NP (DT the) (JJ new) (NN doctor)) (VP (VBD left)))) (NP (DT the) (NN operation)) (VP (VBD appeared) (ADJP (RB increasingly) (JJ likely) (S (VP (TO to) (VP (VB succeed)))))) (. .)),5,NPZ_UAMB,8,After the new doctor left the operation appeared increasingly likely to succeed.,1,Did the doctor appear likely to succeed?,Yes,No,0,
(S (NP (NP (DT The) (JJ new) (NN doctor)) (VP (VBD offered) (NP (DT the) (NN operation)))) (VP (VBD appeared) (ADJP (RB increasingly) (JJ likely) (S (VP (TO to) (VP (VB succeed) (PP (IN in) (NP (PRP$ her) (NN career)))))))) (. .)),5,MVRR_UAMB,7,The new doctor offered the operation appeared increasingly likely to succeed in her career.,1,Did the doctor offer the operation to someone?,Yes,No,0,X
(S (NP (DT The) (NN professor)) (VP (VBD noticed) (SBAR (S (NP (DT the) (NN grant)) (VP (VBD gained) (NP (JJR more) (NN attention)) (PP (IN from) (NP (JJ marine) (NNS biologists))))))) (. .)),6,NPS_UAMB,6,The professor noticed the grant gained more attention from marine biologists.,1,Who paid attention to the grant?,The professor,Marine biologists,0,X
(S (SBAR (IN After) (S (NP (DT the) (NN professor)) (VP (VBD read)))) (NP (DT the) (NN grant)) (VP (VBD gained) (NP (JJR more) (NN attention)) (PP (JJ due) (TO to) (NP (PRP$ her) (JJ excellent) (NN description)))) (. .)),6,NPZ_UAMB,7,After the professor read the grant gained more attention due to her excellent description.,1,Who or what got a lot of attention?,The grant,The professor,1,X
(S (NP (NP (DT The) (NN professor)) (VP (VBN awarded) (NP (DT the) (NN grant)))) (VP (VBD gained) (NP (JJR more) (NN attention)) (PP (IN from) (NP (JJ marine) (NNS biologists)))) (. .)),6,MVRR_UAMB,6,The professor awarded the grant gained more attention from marine biologists.,1,Did the professor award the grant to someone?,Yes,No,0,X
(S (NP (DT The) (NN technician)) (VP (VBD reported) (SBAR (S (NP (DT the) (NN service)) (VP (VBD stopped) (S (VP (VBG working))) (ADVP (RB almost) (RB immediately)) (SBAR (IN after) (S (NP (DT the) (NN storm)) (VP (VBD started)))))))) (. .)),7,NPS_UAMB,6,The technician reported the service stopped working almost immediately after the storm started.,1,When did the service stop working?,After the storm,Before the storm,1,X
(S (SBAR (IN After) (S (S (NP (DT the) (NN technician)) (VBD called)) (NP (DT the) (NN service)))) (VP (VBD stopped) (S (VP (VBG working))) (ADVP (RB almost) (RB immediately)) (PP (TO to) (NP (PRP$ his) (NN surprise)))) (. .)),7,NPZ_UAMB,7,After the technician called the service stopped working almost immediately to his surprise.,1,Did the technician stop working?,Yes,No,0,
(S (NP (NP (DT The) (NN technician)) (VBD refused) (NP (DT the) (NN service))) (VP (VBD stopped) (S (VP (VBG working))) (ADVP (RB almost) (RB immediately)) (PP (IN after) (NP (DT the) (NN argument)))) (. .)),7,MVRR_UAMB,6,The technician refused the service stopped working almost immediately after the argument.,1,Did the technician refuse the service?,Yes,No,0,X
(S (NP (DT The) (NN mechanic)) (VP (VBD observed) (SBAR (S (NP (DT the) (NN truck)) (VP (VBD needed) (NP (JJ several) (JJR more) (NNS hours)) (S (VP (TO to) (VP (VB be) (VP (VBN repaired))))))))) (. .)),8,NPS_UAMB,6,The mechanic observed the truck needed several more hours to be repaired.,1,Had the truck broken down?,Yes,No,1,
(S (SBAR (IN Because) (NP (S (NP (DT the) (NN mechanic)) (VBD stopped)) (NP (DT the) (NN truck)))) (VP (VBD needed) (NP (QP (JJ several) (JJR more)) (NNS hours)) (SBAR (IN before) (S (NP (PRP it)) (VP (MD could) (VP (VB be) (VP (ADVP (RB fully)) (VBN repaired))))))) (. .)),8,NPZ_UAMB,7,Because the mechanic stopped the truck needed several more hours before it could be fully repaired.,1,Did the mechanic stop the truck?,Yes,No,0,X
(S (NP (DT The) (NN mechanic)) (VP (VBD brought) (SBAR (S (NP (DT the) (NN truck)) (VP (VBD needed) (NP (JJ several) (JJR more) (NNS hours)) (S (VP (TO to) (VP (ADVP (RB fully)) (VB repair) (NP (PRP it))))))))) (. .)),8,MVRR_UAMB,6,The mechanic brought the truck needed several more hours to fully repair it.,1,Did the mechanic bring the truck?,Yes,No,0,X
(S (NP (DT The) (NN guitarist)) (VP (VBD knew) (SBAR (S (NP (DT the) (NN song)) (VP (VBD failed) (ADVP (RB dramatically)) (PP (IN because) (IN of) (NP (NP (DT the) (NNS tensions)) (PP (IN within) (NP (DT the) (NN band))))))))) (. .)),9,NPS_UAMB,6,The guitarist knew the song failed dramatically because of the tensions within the band.,1,Did the band members have some interpersonal conflict?,Yes,No,1,
(S (SBAR (IN After) (S (NP (DT the) (NN guitarist)) (VP (VBD began)))) (NP (DT the) (NN song)) (VP (VBD failed) (ADVP (RB dramatically)) (SBAR (IN because) (S (NP (PRP he)) (VP (VBD skipped) (NP (DT the) (NN sound) (NN check)))))) (. .)),9,NPZ_UAMB,7,After the guitarist began the song failed dramatically because he skipped the sound check.,1,Did the guitarist complete the sound check?,Yes,No,0,
(S (NP (NP (DT The) (NN guitarist)) (VP (VBN assigned) (NP (DT the) (NN song)))) (VP (VBD failed) (ADVP (RB dramatically)) (SBAR (IN because) (S (NP (PRP he)) (ADVP (RB never)) (VP (VBD practiced) (ADVP (RB enough)))))) (. .)),9,MVRR_UAMB,6,The guitarist assigned the song failed dramatically because he never practiced enough.,1,Did the guitarist assign the song to someone?,Yes,No,0,X
(S (NP (DT The) (NN player)) (VP (VBD revealed) (SBAR (S (NP (DT the) (NN bonus)) (VP (VBD remained) (ADJP (NP (RB essentially) (DT the) (JJ same)) (PP (IN as) (PP (IN in) (NP (DT the) (JJ original) (NN contract))))))))) (. .)),10,NPS_UAMB,6,The player revealed the bonus remained essentially the same as in the original contract.,1,Was the contract violated?,Yes,No,0,
(S (SBAR (IN Although) (S (NP (DT the) (NN player)) (VP (VBD lost)))) (NP (DT the) (NN bonus)) (VP (VBD remained) (ADJP (NP (RB essentially) (DT the) (JJ same)) (PP (IN as) (PP (IN in) (NP (DT the) (JJ original) (NN contract)))))) (. .)),10,NPZ_UAMB,7,Although the player lost the bonus remained essentially the same as in the original contract.,1,Did the player lose the bonus?,Yes,No,0,X
(S (NP (NP (DT The) (NN player)) (VP (VBD paid) (NP (DT the) (NN bonus)))) (VP (VBD remained) (NP (RB essentially) (DT the) (JJ same)) (PP (IN despite) (NP (PRP$ his) (JJ sudden) (NN fame) (CC and) (NN wealth)))) (. .)),10,MVRR_UAMB,6,The player paid the bonus remained essentially the same despite his sudden fame and wealth.,1,Did the player pay the bonus to someone?,Yes,No,0,X
(S (NP (DT The) (JJ recent) (NN hire)) (VP (VBD claimed) (SBAR (S (NP (DT the) (NN job)) (VP (VBD prepared) (NP (JJ many) (NNS students)) (PP (IN for) (NP (NP (NNS careers)) (PP (IN in) (NP (NNS media))))))))) (. .)),11,NPS_UAMB,7,The recent hire claimed the job prepared many students for careers in media.,1,Did the hire believe the job helped students?,Yes,No,1,
(S (SBAR (RB Once) (S (NP (DT the) (JJ recent) (NN hire)) (VP (VBD started)))) (NP (DT the) (NN job)) (VP (VBD prepared) (NP (JJ many) (NNS students)) (PP (IN for) (NP (NP (NNS careers)) (PP (IN in) (NP (NNS media)))))) (. .)),11,NPZ_UAMB,8,Once the recent hire started the job prepared many students for careers in media.,1,Did the job help any students?,Yes,No,1,
(S (NP (NP (DT The) (JJ recent) (NN hire)) (VP (VBD offered) (NP (DT the) (NN job)))) (VP (VBD prepared) (NP (JJ many) (NNS students)) (PP (IN for) (NP (NP (NNS careers)) (PP (IN in) (NP (NNS media)))))) (. .)),11,MVRR_UAMB,7,The recent hire offered the job prepared many students for careers in media.,1,Did the new hire offer the job to someone?,Yes,No,0,X
(S (NP (DT The) (JJ assistant) (NN manager)) (VP (VBD discovered) (SBAR (S (NP (DT the) (NN training)) (VP (VBD seemed) (ADJP (RB unnecessarily) (JJ demanding) (PP (IN for) (NP (JJ new) (NN staff)))))))) (. .)),12,NPS_UAMB,7,The assistant manager discovered the training seemed unnecessarily demanding for new staff.,1,Was the training difficult?,Yes,No,1,
(S (SBAR (IN While) (S (NP (DT the) (JJ assistant) (NN manager)) (VP (VBD worked)))) (NP (DT the) (NN training)) (VP (VBD seemed) (ADJP (RB unnecessarily) (JJ demanding) (PP (TO to) (NP (PRP him))))) (. .)),12,NPZ_UAMB,8,While the assistant manager worked the training seemed unnecessarily demanding to him.,1,Was the training difficult?,Yes,No,1,
(S (NP (NP (DT The) (JJ assistant) (NN manager)) (VP (VBN assigned) (NP (DT the) (NN training)))) (VP (VBD seemed) (ADJP (RB unnecessarily) (VBG demanding) (PP (TO to) (NP (JJ new) (NN staff))))) (. .)),12,MVRR_UAMB,7,The assistant manager assigned the training seemed unnecessarily demanding to new staff.,1,Was the assistant manager being harsh?,Yes,No,1,
(S (NP (DT The) (NN mayor)) (VP (VBD showed) (SBAR (S (NP (DT the) (NN document)) (VP (VBN provided) (NP (NP (JJ sufficient) (NN evidence)) (SBAR (S (VP (TO to) (VP (VB prove) (NP (PRP$ her) (NN innocence))))))))))) (. .)),13,NPS_UAMB,6,The mayor showed the document provided sufficient evidence to prove her innocence.,1,Was there enough proof?,Yes,No,1,
(S (SBAR (SBAR (IN Although) (S (NP (DT the) (NN mayor)) (VP (VBD changed)))) (NP (DT the) (NN document))) (VP (VBD provided) (NP (NP (JJ sufficient) (NN evidence)) (PP (IN for) (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBD had) (VP (VBN promised)))))))) (. .)),13,NPZ_UAMB,7,Although the mayor changed the document provided sufficient evidence for what he had promised.,1,Did the mayor change the document?,Yes,No,0,X
(S (NP (NP (DT The) (NN mayor)) (VP (VBD sent) (NP (DT the) (NN document)))) (VP (VBD provided) (NP (JJ sufficient) (NN evidence) (SBAR (IN that) (S (NP (PRP it)) (VP (VBD was) (ADVP (RB simply)) (NP (NN blackmail))))))) (. .)),13,MVRR_UAMB,6,The mayor sent the document provided sufficient evidence that it was simply blackmail.,1,Did the mayor send the document to someone?,Yes,No,0,X
(S (NP (DT The) (NN basketball) (NN player)) (VP (VBD mentioned) (SBAR (S (NP (DT the) (NN contract)) (VP (VBD created) (NP (DT another) (NN controversy)) (PP (IN in) (NP (DT the) (NNP NBA))))))) (. .)),14,NPS_UAMB,7,The basketball player mentioned the contract created another controversy in the NBA.,1,Were there already controversies in the NBA?,Yes,No,1,
(S (SBAR (IN After) (S (NP (DT the) (NN basketball) (NN player)) (VP (VBD signed) (NP (DT the) (NN contract))))) (VP (VBN created) (NP (NP (DT another) (NN controversy)) (PP (IN in) (NP (DT the) (NNP NBA))))) (. .)),14,NPZ_UAMB,8,After the basketball player signed the contract created another controversy in the NBA.,1,Were there already controversies in the NBA?,Yes,No,1,
(S (NP (NP (DT The) (NN basketball) (NN player)) (VP (VBN handed) (NP (DT the) (NN contract)))) (VP (VBD created) (NP (DT another) (NN controversy)) (PP (IN in) (NP (DT the) (NNP NBA)))) (. .)),14,MVRR_UAMB,7,The basketball player handed the contract created another controversy in the NBA.,1,Did the player hand the contract to someone?,Yes,No,0,X
(S (NP (NP (DT The) (NN engineer)) (VP (VBD maintained) (NP (DT the) (NN equipment)))) (VP (VBD required) (NP (NP (JJ constant) (NN supervision)) (PP (IN from) (NP (JJ senior) (NNS technicians))))) (. .)),15,NPS_UAMB,6,The engineer maintained the equipment required constant supervision from senior technicians.,1,Did the engineer maintain the equipment?,Yes,No,0,X
(S (SBAR (IN After) (S (NP (DT the) (NN engineer)) (VP (VBD moved)))) (NP (DT the) (NN equipment)) (VP (VBD required) (NP (NP (JJ constant) (NN supervision)) (PP (IN from) (NP (JJ senior) (NNS technicians))))) (. .)),15,NPZ_UAMB,7,After the engineer moved the equipment required constant supervision from senior technicians.,1,Did the engineer move the equipment?,Yes,No,0,X
(S (NP (DT The) (NN engineer)) (VP (VBD brought) (SBAR (S (NP (DT the) (NN equipment)) (VP (VBD required) (NP (NP (JJ constant) (NN supervision)) (PP (IN from) (NP (JJ senior) (NNS technicians)))))))) (. .)),15,MVRR_UAMB,6,The engineer brought the equipment required constant supervision from senior technicians.,1,Did the engineer bring the equipment to someone?,Yes,No,0,X
(S (NP (DT The) (JJ little) (NN girl)) (VP (VBD found) (SBAR (S (NP (DT the) (NN lamb)) (VP (VBD remained) (ADJP (RB relatively) (JJ calm)) (PP (IN despite) (NP (NP (DT the) (NN absence)) (PP (IN of) (NP (PRP$ its) (NN mother))))))))) (. .)),16,NPS_UAMB,7,The little girl found the lamb remained relatively calm despite the absence of its mother.,1,Was the lamb\'s mother missing?,Yes,No,1,
(S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (JJ little) (NN girl)) (VP (VBD attacked) (NP (DT the) (NN lamb))))) (VP (VBD remained) (ADJP (RB relatively) (JJ calm)) (PP (IN despite) (NP (DT the) (JJ sudden) (NN assault)))) (. .)),16,NPZ_UAMB,8,When the little girl attacked the lamb remained relatively calm despite the sudden assault.,1,Was the little girl kind to the lamb?,Yes,No,0,
(S (NP (NP (DT The) (JJ little) (NN girl)) (VP (VBD fed) (NP (DT the) (NN lamb)))) (VP (VBD remained) (ADJP (RB relatively) (JJ calm)) (PP (IN despite) (S (VP (VBG having) (VP (VBN asked) (PP (IN for) (NP (NN beef)))))))) (. .)),16,MVRR_UAMB,7,The little girl fed the lamb remained relatively calm despite having asked for beef.,1,Did the girl feed the lamb?,Yes,No,0,X
(S (NP (DT The) (NN yoga) (NN instructor)) (VP (VBD demonstrated) (SBAR (S (NP (DT the) (NN position)) (VP (VBD demanded) (NP (JJ immense) (JJ physical) (NN effort)) (PP (IN from) (NP (NN everyone))))))) (. .)),17,NPS_UAMB,7,The yoga instructor demonstrated the position demanded immense physical effort from everyone.,1,Was the yoga position challenging?,Yes,No,1,
(S (SBAR (IN Before) (S (NP (DT the) (NN yoga) (NN instructor)) (VP (VBD left)))) (NP (DT the) (NN position)) (VP (VBD demanded) (NP (JJ immense) (JJ physical) (NN effort)) (PP (IN from) (NP (NN everyone)))) (. .)),17,NPZ_UAMB,8,Before the yoga instructor left the position demanded immense physical effort from everyone.,1,Was the position hard?,Yes,No,1,
(S (NP (NP (DT The) (NN yoga) (NN instructor)) (VP (VBD offered) (NP (DT the) (NN position)))) (VP (VBD demanded) (NP (JJ immense) (JJ physical) (NN effort)) (PP (IN from) (NP (NN everyone)))) (. .)),17,MVRR_UAMB,7,The yoga instructor offered the position demanded immense physical effort from everyone.,1,Did the instructor offer the position to someone?,Yes,No,0,X
(S (NP (DT The) (NN governor)) (VP (VBD noticed) (SBAR (S (NP (DT the) (NN contract)) (VP (VBD received) (NP (JJ sweeping) (NN support)) (PP (IN across) (NP (DT the) (JJ entire) (NN state))))))) (. .)),18,NPS_UAMB,6,The governor noticed the contract received sweeping support across the entire state.,1,How much support did the contract receive?,Extensive,Limited,1,
(S (SBAR (IN While) (S (NP (DT the) (NN governor)) (VP (VBD read) (NP (DT the) (NN contract))))) (VP (VBD received) (NP (JJ sweeping) (NN support)) (PP (IN from) (NP (NP (DT the) (NN audience)) (PP (IN at) (NP (DT the) (NN rally)))))) (. .)),18,NPZ_UAMB,7,While the governor read the contract received sweeping support from the audience at the rally.,1,How much support did the contract receive?,Limited,Extensive,0,
(S (NP (NP (DT The) (NN governor)) (VP (VBN awarded) (NP (DT the) (NN contract)))) (VP (VBD received) (NP (JJ sweeping) (NN support)) (PP (IN across) (NP (DT the) (JJ entire) (NN state)))) (. .)),18,MVRR_UAMB,6,The governor awarded the contract received sweeping support across the entire state.,1,Did the governor award the contract to someone?,Yes,No,0,X
(S (NP (DT The) (NN patient)) (VP (VBD reported) (SBAR (S (NP (DT the) (NN treatment)) (VP (VBD continued) (S (VP (VBG causing) (NP (NP (JJ uncomfortable) (NN side) (NNS effects)) (PP (IN like) (NP (NN nausea)))))))))) (. .)),19,NPS_UAMB,6,The patient reported the treatment continued causing uncomfortable side effects like nausea.,1,Did the patient\'s nausea last for a while?,Yes,No,1,
(S (SBAR (IN Before) (S (NP (DT the) (NN patient)) (VP (VBD called) (NP (DT the) (NN treatment))))) (VP (VBD continued) (S (VP (VBG causing) (NP (NP (JJ uncomfortable) (NN side) (NNS effects)) (PP (IN like) (NP (NN nausea))))))) (. .)),19,NPZ_UAMB,7,Before the patient called the treatment continued causing uncomfortable side effects like nausea.,1,Did the patient\'s nausea last for a while?,Yes,No,1,
(S (NP (NP (DT The) (NN patient)) (VP (VBD refused) (NP (DT the) (NN treatment)))) (VP (VBD continued) (S (VP (VBG causing) (NP (JJ uncomfortable) (NNS scenes)) (PP (IN in) (NP (DT the) (NN ER)))))) (. .)),19,MVRR_UAMB,6,The patient refused the treatment continued causing uncomfortable scenes in the ER.,1,Did the patient refuse the treatment?,Yes,No,0,X
(S (NP (DT The) (NN operator)) (VP (VBD observed) (SBAR (S (NP (DT the) (NN machine)) (VP (VBD started) (S (VP (VBG working) (ADVP (RB efficiently)) (ADVP (DT all) (PP (IN of) (NP (DT a) (JJ sudden)))))))))) (. .)),20,NPS_UAMB,6,The operator observed the machine started working efficiently all of a sudden.,1,Did the machine turn out to be functional?,Yes,No,1,
(S (SBAR (IN Once) (S (NP (DT the) (NN operator)) (VP (VBD stopped)))) (NP (DT the) (NN machine)) (VP (VBD started) (S (VP (VBG working) (ADVP (RB efficiently)) (PP (IN without) (NP (DT any) (NN supervision)))))) (. .)),20,NPZ_UAMB,7,Once the operator stopped the machine started working efficiently without any supervision.,1,Did the operator stop the machine?,Yes,No,0,X
(S (NP (DT The) (NN operator)) (VP (VBD brought) (SBAR (S (NP (DT the) (NN machine)) (VP (VBD started) (S (VP (VBG working) (ADVP (RB efficiently)) (PP (IN with) (NP (DT the) (VBN added) (NN automation))))))))) (. .)),20,MVRR_UAMB,6,The operator brought the machine started working efficiently with the added automation.,1,Was the machine helpful?,Yes,No,1,
(S (NP (DT The) (NN dancer)) (VP (VBD knew) (SBAR (S (NP (DT the) (NN ballet)) (VP (VBD achieved) (NP (JJ incredible) (NN success)) (PP (IN for) (NP (DT a) (JJ small) (JJ local) (NN production))))))) (. .)),21,NPS_UAMB,6,The dancer knew the ballet achieved incredible success for a small local production.,1,What production achieved incredible success?,A ballet,A musical,1,
(S (SBAR (RB Once) (S (NP (DT the) (NN dancer)) (VP (VBD began)))) (NP (DT the) (NN ballet)) (VP (VBD achieved) (NP (NP (JJ incredible) (NN success)) (PP (IN for) (NP (NP (DT a) (NN show)) (PP (IN with) (NP (DT a) (JJ new) (NN performer))))))) (. .)),21,NPZ_UAMB,7,Once the dancer began the ballet achieved incredible success for a show with a new performer.,1,What show achieved incredible success?,A musical,A ballet,0,
(S (NP (NP (DT The) (NN dancer)) (VP (VBN assigned) (NP (DT the) (NN ballet)))) (VP (VBD achieved) (NP (JJ incredible) (NN success)) (PP (IN for) (NP (DT a) (JJ new) (NN performer)))) (. .)),21,MVRR_UAMB,6,The dancer assigned the ballet achieved incredible success for a new performer.,1,Did the dancer assign the ballet to someone?,Yes,No,0,X
(S (NP (DT The) (NN contestant)) (VP (VBD revealed) (SBAR (S (NP (DT the) (NN money)) (VP (VBD became) (ADJP (JJ unavailable) (PP (TO to) (NP (PRP him)))) (SBAR (WHADVP (WRB when)) (S (NP (NP (DT the) (FW show\) (POS 's)) (NN budget)) (VP (VBD shrank)))))))) (. .)),22,NPS_UAMB,6,The contestant revealed the money became unavailable to him when the show 's budget shrank.,1,What did the contestant reveal?,The money,The unavailability of the money,0,X
(S (SBAR (IN After) (S (NP (DT the) (NN contestant)) (VP (VBD lost) (NP (DT the) (NN money))))) (VP (VBD became) (ADJP (JJ unavailable)) (PP (IN despite) (NP (NP (PRP$ his) (JJ previous) (CD three) (NNS wins)) (PP (IN in) (NP (DT a) (NN row)))))) (. .)),22,NPZ_UAMB,7,After the contestant lost the money became unavailable despite his previous three wins in a row.,1,How many times did the contestant win?,Three,Zero,1,
(S (NP (NP (DT The) (NN contestant)) (VP (VBD paid) (NP (DT the) (NN money)))) (VP (VP (VBD became) (ADJP (JJ unavailable))) (CC and) (VP (ADVP (RB suddenly)) (VBD terminated) (NP (PRP$ his) (NN contract)))) (. .)),22,MVRR_UAMB,6,The contestant paid the money became unavailable and suddenly terminated his contract.,1,Did the contestant pay the money to someone?,Yes,No,0,X
